2020/01/23 06:15:16 [alert] 10#10: *1349 sendfile() reported that "/var/www/symfony/public/build/react-app.js" was truncated at 68372 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/react-app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2020/01/23 06:15:24 [alert] 10#10: *1357 sendfile() reported that "/var/www/symfony/public/build/react-app.js" was truncated at 68372 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/react-app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2020/01/23 06:22:18 [alert] 9#9: *1464 sendfile() reported that "/var/www/symfony/public/build/react-app.js" was truncated at 69061 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/react-app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2020/01/23 12:21:32 [crit] 10#10: *1576 open() "/var/tmp/nginx/fastcgi/1/00/0000000001" failed (13: Permission denied) while reading upstream, client: 172.19.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.19.0.2:9001", host: "localhost"
2020/01/23 12:21:37 [crit] 10#10: *1578 open() "/var/tmp/nginx/fastcgi/2/00/0000000002" failed (13: Permission denied) while reading upstream, client: 172.19.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.19.0.2:9001", host: "localhost"
2020/01/23 12:23:49 [crit] 9#9: *1640 open() "/var/tmp/nginx/fastcgi/3/00/0000000003" failed (13: Permission denied) while reading upstream, client: 172.19.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.19.0.2:9001", host: "localhost"
2020/01/23 19:51:25 [alert] 10#10: *2005 sendfile() reported that "/var/www/symfony/public/build/app.js" was truncated at 68906 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2020/01/23 19:51:29 [alert] 10#10: *2014 sendfile() reported that "/var/www/symfony/public/build/app.js" was truncated at 68906 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2020/01/23 21:11:21 [alert] 10#10: *2377 sendfile() reported that "/var/www/symfony/public/build/app.js" was truncated at 70493 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2020/01/24 14:43:23 [alert] 10#10: *2666 sendfile() reported that "/var/www/symfony/public/build/app.js" was truncated at 76659 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2020/01/24 23:25:55 [alert] 10#10: *2952 sendfile() reported that "/var/www/symfony/public/build/app.js" was truncated at 95595 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2020/01/24 23:26:00 [alert] 10#10: *2962 sendfile() reported that "/var/www/symfony/public/build/app.js" was truncated at 95595 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2020/01/25 18:20:42 [alert] 9#9: *3200 sendfile() reported that "/var/www/symfony/public/build/app.js" was truncated at 93020 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2020/01/25 18:20:45 [alert] 10#10: *3205 sendfile() reported that "/var/www/symfony/public/build/app.js" was truncated at 93020 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2020/01/25 18:20:51 [alert] 9#9: *3201 sendfile() reported that "/var/www/symfony/public/build/app.js" was truncated at 93020 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2020/01/25 18:20:51 [alert] 10#10: *3198 sendfile() reported that "/var/www/symfony/public/build/app.js" was truncated at 93020 while sending response to client, client: 172.19.0.1, server: localhost, request: "GET /build/app.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
